n	song	url	label	note
25	Marc Anthony - Vivir Mi Vida	https://music.youtube.com/watch?v=79OxD7KNlYw	correct	official audio, title, artist and duration match
26	Farruko - Pepas	https://www.youtube.com/watch?v=acm6O4WwgBg	correct	7clouds lyrics upload, 1 s off
27	Luis Fonsi - Despacito	https://music.youtube.com/watch?v=FXovf5dsRTw	correct	official audio on another album
28	Bad Bunny - NUEVAYoL	https://music.youtube.com/watch?v=WdSGEvDGZAo	correct	official audio, title, artist and duration match
29	Ricky Martin - La Mordidita (feat. Yotuel)	https://music.youtube.com/watch?v=5Ulr4o-WZgM	correct	official audio, title, artist and duration match
30	Carlos Vives - Robarte un Beso	https://music.youtube.com/watch?v=H9y-oKSdA9w	correct	official audio, title, artist and duration match
31	Shakira - Perro Fiel (feat. Nicky Jam)	https://music.youtube.com/watch?v=WlLBTCxBJO8	correct	official audio, title, artist and duration match
32	Deorro - Bailar (feat. Pitbull & Elvis Crespo)	https://www.youtube.com/watch?v=9cBtJYI6itg	wrong	official video 11 s longer, without Pitbull's verse credit; fix1 label wrong
33	Don Omar - Hasta Que Salga El Sol	https://music.youtube.com/watch?v=nTWsspgrF0E	correct	official audio, title, artist and duration match
34	Shakira - Acróstico - Milan + Sasha	https://www.youtube.com/watch?v=oBw5BlWsY3M	unsure	lyrics upload titled 'Acróstico'; can't tell if it is the Milan + Sasha version; fix1 label unsure
35	Shakira - Dai Dai	https://music.youtube.com/watch?v=lFQdcPTTzSg	correct	official audio, title, artist and duration match
36	Shakira - Waka Waka (Esto es Africa) (feat. Freshlyground)	https://www.youtube.com/watch?v=KZqFXNMYwr0	correct	lyrics upload, 1 s off, Spanish version
37	Shakira - Loca (feat. El Cata)	https://music.youtube.com/watch?v=p_uBMc7mA0c	correct	official audio, title, artist and duration match
38	Shakira - La Tortura (feat. Alejandro Sanz)	https://music.youtube.com/watch?v=GdgiSOHcswI	correct	official audio, title, artist and duration match
39	KAROL G - TQG	https://music.youtube.com/watch?v=a4oZXu9jM-Q	correct	official audio, title, artist and duration match
40	Luis Fonsi - Échame La Culpa	https://music.youtube.com/watch?v=YDswuo2dIvY	correct	official audio, title, artist and duration match
41	Major Lazer - Que Calor	https://www.youtube.com/watch?v=QlDiILkppa8	correct	re-upload, same length
42	Carlos Vives - Canción Bonita	https://music.youtube.com/watch?v=ZzTjmBeJIS4	correct	official audio on another album
43	Rawayana - Inglés En Miami	https://music.youtube.com/watch?v=X5m3orQOG1c	correct	official audio, title, artist and duration match
44	Rawayana - Se Vienen Cositas	https://music.youtube.com/watch?v=WHcFA1qeF9k	correct	official audio, title, artist and duration match
45	Elvis Crespo - Suavemente	https://music.youtube.com/watch?v=QH0zo6AcP6g	correct	official audio, title, artist and duration match
46	Fuerza Regida - Bebe Dame	https://www.youtube.com/watch?v=Oie--p6YqJo	correct	official video on the artist's channel, 1 s off
47	Aitana - SUPERESTRELLA	https://music.youtube.com/watch?v=ElvzE2cPclc	correct	official audio, title, artist and duration match
48	KAROL G - Ocean	https://music.youtube.com/watch?v=-kDOaQfzQyI	correct	official audio, title, artist and duration match
49	Eslabon Armado - Ella Baila Sola	https://music.youtube.com/watch?v=vPyV5Nj-EO0	unsure	'Release - Topic' upload credited to 'Vizcente Fernández, PesPluma', 422k views: likely a sound-alike, not Eslabon Armado; was counted correct in fix1
50	Nicky Jam - El Perdón (with Enrique Iglesias)	https://music.youtube.com/watch?v=zs6aDvOTlMo	correct	official audio, title, artist and duration match
51	Juan Magán - Bailando por Ahi	https://music.youtube.com/watch?v=tYclh6A0G9g	correct	official audio, title, artist and duration match
