n	song	url	label	note
27	Jerry Lee Lewis - Great Balls of Fire	https://music.youtube.com/watch?v=c3Ne3UYBNZo	correct	official 'Original' on JerryLeeLewisTV, same length (earlier run's 101 s pick is gone)
28	Queen - Hammer To Fall	https://music.youtube.com/watch?v=oZ8Zzhe8A2Q	correct	official audio, deluxe edition
29	Judas Priest - Hell Bent for Leather	https://music.youtube.com/watch?v=OwUpV1_tteY	correct	official audio (Killing Machine is the UK title)
30	Judas Priest - Breaking the Law	https://music.youtube.com/watch?v=BXtPycm5dGc	correct	official audio, title, artist and duration match
31	Judas Priest - Living After Midnight	https://music.youtube.com/watch?v=PjTLOaD6fr4	correct	official audio, title, artist and duration match
32	"David Bowie - ""Heroes"" - 2017 Remaster"	https://www.youtube.com/watch?v=A2HAHXxeNNE	correct	fan re-upload of the album version, 1 s off
33	Deep Purple - Highway Star	https://music.youtube.com/watch?v=xKwPOy_nEmI	correct	official audio, title, artist and duration match
34	AC/DC - Highway to Hell	https://music.youtube.com/watch?v=ikFFVfObwss	correct	official audio, title, artist and duration match
35	Van Halen - Hot for Teacher - 2015 Remaster	https://music.youtube.com/watch?v=h_FKbrcnxA8	unsure	official audio labelled 2004 Remaster; Spotify is the 2015 Remaster
36	Eagles - Hotel California - 2013 Remaster	https://www.youtube.com/watch?v=dLl4PZtxia8	correct	official audio video, 1 s off
37	Joan Jett & the Blackhearts - I Love Rock 'N Roll	https://music.youtube.com/watch?v=8-hM3bTmV48	correct	official audio, title, artist and duration match
38	The Proclaimers - I'm Gonna Be (500 Miles)	https://music.youtube.com/watch?v=oUv0NbjbGzQ	correct	official audio, title, artist and duration match
39	Twisted Sister - I Wanna Rock	https://www.youtube.com/watch?v=M55rt14ZWfI	correct	fan re-upload of the album version, 1 s off
40	Queen - I Want To Break Free	https://music.youtube.com/watch?v=xQQxllqJXLc	correct	official audio, title, artist and duration match
41	Led Zeppelin - Immigrant Song - Remaster	https://music.youtube.com/watch?v=5eHkjPCGXKQ	correct	official audio, title, artist and duration match
42	Black Sabbath - Iron Man	https://music.youtube.com/watch?v=F01UTYg79KY	correct	official audio, title, artist and duration match
43	Foreigner - Juke Box Hero	https://music.youtube.com/watch?v=W_TOsFvnmeQ	correct	official audio, title, artist and duration match
44	Van Halen - Jump	https://www.youtube.com/watch?v=ShSazZ_H3LI	correct	fan re-upload, 3 s off
45	Queen - Killer Queen - Remastered 2011	https://www.youtube.com/watch?v=v1fW847XuJI	unsure	fan upload labelled 'Remastered - 2021', 4 s longer; Spotify is the 2011 remaster
46	Guns N' Roses - Knockin' On Heaven's Door	https://music.youtube.com/watch?v=f8OHybVhQwc	correct	official audio, title, artist and duration match
47	Bon Jovi - Livin' On A Prayer	https://music.youtube.com/watch?v=YBdyc1WDlBQ	correct	official audio, title, artist and duration match
48	Billy Joel - The Longest Time	https://music.youtube.com/watch?v=xvdQNuIojeI	correct	official audio on the same album, 5 s shorter
49	Van Halen - Love Walks In	https://music.youtube.com/watch?v=8qcQ34iTswY	correct	official audio, title, artist and duration match
50	Deep Purple - Maybe I'm a Leo	https://music.youtube.com/watch?v=wGv-flMDA2s	correct	official audio, title, artist and duration match
51	Deep Purple - Never Before	https://music.youtube.com/watch?v=38O0Ixp-YqA	correct	official audio, title, artist and duration match
52	Guns N' Roses - Nightrain	https://music.youtube.com/watch?v=VMDljoM5JFI	correct	official audio, title, artist and duration match
53	The Rolling Stones - Paint It, Black	https://music.youtube.com/watch?v=170sceOWWXc	correct	official audio, title, artist and duration match
54	Van Halen - Panama - 2015 Remaster	https://www.youtube.com/watch?v=yMoDJ4HWWaE	correct	official 2015 remaster on the Van Halen channel
55	Guns N' Roses - Paradise City	https://music.youtube.com/watch?v=T0ZmErXkbxE	correct	official audio, title, artist and duration match
56	Black Sabbath - Paranoid	https://www.youtube.com/watch?v=0qanF-91aJo	unsure	official video, 5 s longer; may have an intro
57	Billy Joel - Piano Man	https://music.youtube.com/watch?v=LLbew85exp0	correct	official audio, title, artist and duration match
58	Queen - Play The Game	https://www.youtube.com/watch?v=6_5O-nUiZ_0	unsure	official video, 9 s longer
59	Def Leppard - Pour Some Sugar On Me	https://music.youtube.com/watch?v=Rqs4cMyMLnY	correct	official audio, title, artist and duration match
60	Queen - Radio Ga Ga	https://music.youtube.com/watch?v=g9L-hOwKcHQ	correct	official audio, title, artist and duration match
61	Dio - Rainbow in the Dark	https://music.youtube.com/watch?v=prge5lp5hQc	correct	official audio, title, artist and duration match
62	Michael Jackson - Rock with You - Single Version	https://music.youtube.com/watch?v=OvzJZTkWYoY	correct	official audio, title, artist and duration match
63	Scorpions - Rock You Like A Hurricane	https://music.youtube.com/watch?v=bNawbNsx52A	correct	official audio, title, artist and duration match
64	The Police - Roxanne	https://music.youtube.com/watch?v=fZheUzgIFEk	correct	official audio, title, artist and duration match
65	Van Halen - Runnin' with the Devil	https://www.youtube.com/watch?v=enL_lzVyNdM	correct	official 2015 remaster on the Van Halen channel, 1 s off
66	Alice Cooper - School's Out	https://music.youtube.com/watch?v=37ALmuMSHEI	correct	official audio, title, artist and duration match
67	The Clash - Should I Stay or Should I Go - Remastered	https://music.youtube.com/watch?v=wjZMcWaniA4	correct	official remaster
68	Nirvana - Smells Like Teen Spirit	https://www.youtube.com/watch?v=69Wqhhun5_o	correct	7clouds lyrics upload, 1 s off
69	Deep Purple - Smoke on the Water	https://music.youtube.com/watch?v=dkRi0jJOFmo	correct	official 2012 remaster; Spotify's Machine Head is unlabelled
70	Queen - Somebody To Love - Remastered 2011	https://music.youtube.com/watch?v=poobWJNbucs	correct	official audio, 1 s off
71	David Bowie - Space Oddity - Love You Til Tuesday version	https://music.youtube.com/watch?v=eDTPYR95X9U	correct	official audio, title, artist and duration match
72	Deep Purple - Space Truckin'	https://music.youtube.com/watch?v=5hqG-29NTSU	correct	official 2012 remaster, same length
73	David Bowie - Starman - 2012 Remaster	https://www.youtube.com/watch?v=WbpIB8v7FXE	correct	fan upload, same length
74	Bee Gees - Stayin Alive	https://www.youtube.com/watch?v=Fa9n7GirhsI	correct	fan upload, same length
75	Guns N' Roses - Sweet Child O' Mine	https://music.youtube.com/watch?v=oMfMUfgjiLg	correct	official audio, title, artist and duration match
76	Lynyrd Skynyrd - Sweet Home Alabama	https://music.youtube.com/watch?v=iL-jC7XyLeo	correct	official audio, title, artist and duration match
77	Michael Jackson - Smooth Criminal - 2012 Remaster	https://music.youtube.com/watch?v=XzNWRmqibNE	correct	official 2012 remaster
78	AC/DC - T.N.T.	https://music.youtube.com/watch?v=NhsK5WExrnE	correct	official audio, title, artist and duration match
79	a-ha - Take on Me	https://music.youtube.com/watch?v=HzdD8kbDzZA	correct	official audio, title, artist and duration match
80	AC/DC - Thunderstruck	https://music.youtube.com/watch?v=lhg9bYNLvOg	correct	official audio, title, artist and duration match
81	MC Hammer - U Can't Touch This	https://music.youtube.com/watch?v=gDCRrvtY78g	correct	official audio
82	Queen - Under Pressure	https://www.youtube.com/watch?v=yNxUFa47WlI	unsure	fan upload, 7 s shorter
83	Wham! - Wake Me Up Before You Go-Go	https://music.youtube.com/watch?v=R14lGgHgVJM	correct	official audio, title, artist and duration match
84	Aerosmith - Walk This Way	https://music.youtube.com/watch?v=gkWCLjxQqjU	correct	official audio, title, artist and duration match
85	Bon Jovi - Wanted Dead Or Alive	https://music.youtube.com/watch?v=xNRaDavYo1M	correct	official audio, title, artist and duration match
86	Queen - We Are The Champions	https://music.youtube.com/watch?v=32C0ohT-JFU	correct	official audio, title, artist and duration match
87	Twisted Sister - We're Not Gonna Take It	https://music.youtube.com/watch?v=orsonBB3Lf4	correct	official audio, title, artist and duration match
88	Queen - We Will Rock You	https://music.youtube.com/watch?v=6eCIQSHY8UI	correct	official audio, title, artist and duration match
89	Jerry Lee Lewis - Whole Lot of Shakin' Going On	https://music.youtube.com/watch?v=DZE_olZnVw4	correct	official audio, same length
90	Led Zeppelin - Whole Lotta Love	https://www.youtube.com/watch?v=fIQMktyP90s	wrong	live at the Royal Albert Hall 1970, not the studio recording
91	Van Halen - Why Can't This Be Love	https://music.youtube.com/watch?v=ybbfEzKfpts	correct	official audio, title, artist and duration match
92	Village People - Y.M.C.A.	https://music.youtube.com/watch?v=khOFB1Erzdg	correct	official audio, title, artist and duration match
93	Van Halen - You Really Got Me - 2015 Remaster	https://music.youtube.com/watch?v=-Oh6hNFZ2KA	correct	official 2015 remaster
94	Dead Or Alive - You Spin Me Round (Like a Record)	https://www.youtube.com/watch?v=xyQC_PXL1G4	correct	official audio video, 5 s longer
95	Quiet Riot - Cum on Feel the Noize	https://music.youtube.com/watch?v=XQ5mygB97nM	correct	official audio, title, artist and duration match
96	Aerosmith - Dude (Looks Like A Lady)	https://music.youtube.com/watch?v=Qs97ZmUeUa4	correct	official audio, title, artist and duration match
97	Bon Jovi - You Give Love A Bad Name	https://music.youtube.com/watch?v=Aqc3VTpz9HQ	correct	official audio, title, artist and duration match
98	KISS - Rock And Roll All Nite	https://music.youtube.com/watch?v=f-S3X2saSwM	correct	official audio on Greatest Kiss, 1 s off
99	Bon Jovi - Bad Medicine	https://music.youtube.com/watch?v=AfI1QznxY5c	correct	official audio
100	ZZ Top - Sharp Dressed Man - 2008 Remaster	https://music.youtube.com/watch?v=PAyOcwZggnA	correct	official audio, title, artist and duration match
101	Chuck Berry - Johnny B. Goode	https://music.youtube.com/watch?v=uFeZ_x--aRg	correct	official audio, title, artist and duration match
102	Thin Lizzy - The Boys Are Back In Town	https://music.youtube.com/watch?v=56b4TTT609c	correct	official audio
103	Van Halen - (Oh) Pretty Woman - 2015 Remaster	https://music.youtube.com/watch?v=3z1CdiWQLqE	correct	official 2015 remaster
104	Kansas - Carry on Wayward Son	https://music.youtube.com/watch?v=tz6u9suVNlY	correct	official audio, title, artist and duration match
105	The Black Jets - I Love Rock 'n' Roll	https://music.youtube.com/watch?v=91TtnoYnTZM	correct	official audio, title, artist and duration match
106	The Rolling Stones - (I Can't Get No) Satisfaction - Mono	https://music.youtube.com/watch?v=eUpb-ALfUzc	correct	official audio, title, artist and duration match
107	Led Zeppelin - Rock and Roll - Remaster	https://music.youtube.com/watch?v=SRQ7-eSGBWc	correct	official audio, title, artist and duration match
108	Guns N' Roses - Live And Let Die	https://music.youtube.com/watch?v=RywqQ_AKB9M	correct	official audio, title, artist and duration match
109	Pink Floyd - Another Brick in the Wall, Pt. 2	https://music.youtube.com/watch?v=Ey8gm1W-e1Y	correct	official audio, title, artist and duration match
110	AC/DC - Dirty Deeds Done Dirt Cheap	https://music.youtube.com/watch?v=UIE4UjBtx-o	correct	official audio, title, artist and duration match
111	Billy Idol - White Wedding - Pt. 1	https://music.youtube.com/watch?v=o5oTrvdNoP4	correct	official audio, title, artist and duration match
112	Journey - Any Way You Want It	https://www.youtube.com/watch?v=mSEzrgql-Zs	correct	7clouds lyrics upload, 1 s off
113	Ram Jam - Black Betty	https://music.youtube.com/watch?v=wWk-uDrGxL0	correct	official audio, title, artist and duration match
114	Beastie Boys - Fight For Your Right	https://music.youtube.com/watch?v=pYoN9OraOWM	correct	official audio, title, artist and duration match
115	KISS - Heaven's On Fire	https://music.youtube.com/watch?v=gyV50S1a9uY	correct	official audio, title, artist and duration match
116	Bon Jovi - Runaway	https://music.youtube.com/watch?v=kb2DgAF3egQ	correct	official audio, title, artist and duration match
117	AC/DC - Moneytalks	https://music.youtube.com/watch?v=iaaRYZPu9dc	correct	official audio, title, artist and duration match
118	Bruce Springsteen - Born in the U.S.A.	https://music.youtube.com/watch?v=tRx212PUa4g	correct	official audio, title, artist and duration match
119	Billy Idol - Rebel Yell	https://music.youtube.com/watch?v=seHlHzYpWBU	correct	official audio, title, artist and duration match
120	The Knack - My Sharona	https://music.youtube.com/watch?v=ZR-3r5Z9kqw	correct	official audio, title, artist and duration match
121	Aerosmith - Sweet Emotion	https://music.youtube.com/watch?v=15aa3WIHk5M	correct	official audio, title, artist and duration match
122	Black Sabbath - War Pigs	https://music.youtube.com/watch?v=bc5Nk1DXyEY	correct	official audio, title, artist and duration match
123	Def Leppard - Rock Of Ages	https://music.youtube.com/watch?v=fTAOLmEba4I	correct	official audio
124	Led Zeppelin - Ramble On - 1990 Remaster	https://www.youtube.com/watch?v=5GX5IbHbE8M	unsure	fan upload of the remaster, 6 s longer
125	ZZ Top - La Grange - 2005 Remaster	https://music.youtube.com/watch?v=bSt4myecN_c	correct	official audio, title, artist and duration match
126	Creedence Clearwater Revival - Fortunate Son	https://music.youtube.com/watch?v=r5NzAksjfDI	correct	official audio, title, artist and duration match
127	Electric Light Orchestra - Mr. Blue Sky	https://music.youtube.com/watch?v=wuJIqmha2Hk	correct	official audio on a compilation, same length
128	The White Stripes - Seven Nation Army	https://music.youtube.com/watch?v=D_QLxj8jCF0	correct	official audio, title, artist and duration match
129	Billy Joel - We Didn't Start the Fire	https://music.youtube.com/watch?v=55q6jrfBDdk	correct	official audio, title, artist and duration match
130	The Animals - House Of The Rising Sun	https://music.youtube.com/watch?v=MJkr0DWbhTk	correct	official audio, title, artist and duration match
131	Don McLean - American Pie	https://music.youtube.com/watch?v=iX_TFkut1PM	correct	official audio, title, artist and duration match
132	Queen - Another One Bites The Dust - Remastered 2011	https://music.youtube.com/watch?v=b72gdhV_rXM	correct	official audio
133	Billy Joel - Uptown Girl	https://music.youtube.com/watch?v=H6M0EulApMM	correct	official audio, title, artist and duration match
134	Guns N' Roses - November Rain	https://music.youtube.com/watch?v=y6lfK3bH4z8	correct	official audio, title, artist and duration match
135	Billy Joel - Vienna	https://music.youtube.com/watch?v=irl89Gmcv8c	correct	official audio, title, artist and duration match
136	Billy Joel - Piano Man	https://music.youtube.com/watch?v=LLbew85exp0	correct	official audio, same length
137	Queen - Love Of My Life - Remastered 2011	https://music.youtube.com/watch?v=_IL77qFKgRw	correct	official audio
138	Billy Joel - An Innocent Man	https://music.youtube.com/watch?v=zx9-3On46-c	correct	official audio, title, artist and duration match
139	Michael Jackson - Man in the Mirror - 2012 Remaster	https://www.youtube.com/watch?v=XQ4mcSyhKlo	correct	fan upload with Spanish subtitles, same length
140	Led Zeppelin - Black Dog - Remaster	https://www.youtube.com/watch?v=BNIufp5fzEk	correct	fan upload of the remaster, 1 s off
141	Led Zeppelin - Whole Lotta Love - 1990 Remaster	https://music.youtube.com/watch?v=0bcIjILqORM	correct	official remaster, 2 s off
142	Led Zeppelin - Immigrant Song - Remaster	https://music.youtube.com/watch?v=5eHkjPCGXKQ	correct	official remaster
143	Fastway - Say What You Will	https://music.youtube.com/watch?v=S-iHK0xTneg	correct	official audio, title, artist and duration match
144	Extreme - Get The Funk Out	https://music.youtube.com/watch?v=8Dsz4TpIRvI	correct	official audio
145	Extreme - Hole Hearted	https://music.youtube.com/watch?v=fu7vlU0Quow	correct	official audio on the same album's deluxe edition, 4 s longer
146	Deep Purple - Burn - Remastered 2004	https://www.youtube.com/watch?v=LCnebZnysmI	correct	fan upload, same length
147	Judas Priest - Hell Bent for Leather	https://music.youtube.com/watch?v=OwUpV1_tteY	correct	official audio, title, artist and duration match
148	Queen - Don't Stop Me Now - Remastered 2011	https://www.youtube.com/watch?v=PmyuL0o3g40	correct	fan upload of the remaster, same length
149	Kenny Loggins - Footloose	https://www.youtube.com/watch?v=FDMHZFJnk2s	unsure	lyrics upload, 8 s longer
150	Jerry Lee Lewis - Great Balls Of Fire	https://music.youtube.com/watch?v=ytvHi5VXCdw	correct	official audio, title, artist and duration match
151	Queen - Radio Ga Ga - Remastered 2011	https://www.youtube.com/watch?v=9kGqkHWrA8Y	unsure	fan upload labelled 'Remastered - 2021', 4 s shorter; Spotify is the 2011 remaster
152	Queen - We Will Rock You - Remastered 2011	https://music.youtube.com/watch?v=6eCIQSHY8UI	correct	official audio
153	Deep Purple - Highway Star - Remastered 2012	https://www.youtube.com/watch?v=Wr9ie2J2690	correct	fan upload, 1 s off
154	Michael Jackson - Man in the Mirror - 2012 Remaster	https://www.youtube.com/watch?v=XQ4mcSyhKlo	correct	fan upload with Spanish subtitles, same length
155	Deep Purple - Smoke On The Water - Remastered 2012	https://music.youtube.com/watch?v=dkRi0jJOFmo	correct	official 2012 remaster, same length
156	Status Quo - Caroline	https://music.youtube.com/watch?v=69YERtGeX6A	correct	official audio, 3 s off
157	Michael Jackson - Bad - 2012 Remaster	https://www.youtube.com/watch?v=aVMtACPiT0E	correct	fan upload of the 2012 remaster, 2 s off
158	Metallica - Enter Sandman	https://music.youtube.com/watch?v=CHIWNDAwTqQ	correct	official audio, title, artist and duration match
159	Queen - Crazy Little Thing Called Love - Remastered 2011	https://music.youtube.com/watch?v=ARwcMqXz4Zc	correct	official audio
160	Queen - Bohemian Rhapsody - Remastered 2011	https://music.youtube.com/watch?v=BSTsnWoslP4	correct	official audio
161	Nirvana - Smells Like Teen Spirit - Remastered	https://www.youtube.com/watch?v=69Wqhhun5_o	correct	7clouds lyrics upload, same length
162	Deep Purple - Space Truckin' - Remastered 2012	https://music.youtube.com/watch?v=iznf49vOgJs	unsure	official 2024 Remaster; Spotify is the 2012 Remaster
163	"Bee Gees - Stayin' Alive - From ""Saturday Night Fever"" Soundtrack"	https://music.youtube.com/watch?v=GbsFCYEJGZ0	correct	official audio, same length
164	Def Leppard - Pour Some Sugar On Me - Remastered 2017	https://music.youtube.com/watch?v=eiOIDqRKo0Y	correct	official audio, title, artist and duration match
165	Michael Jackson - Smooth Criminal - 2012 Remaster	https://www.youtube.com/watch?v=zjumtUhhGrg	unsure	lyrics upload of the 2012 remaster (GOAL lists it unsure)
166	Survivor - Eye of the Tiger	https://music.youtube.com/watch?v=S-LO6dctBms	correct	official audio, title, artist and duration match
167	Queen - Under Pressure - Remastered 2011	https://www.youtube.com/watch?v=kVmCYFB3Q-w	unsure	fan upload, 5 s shorter
168	Aerosmith - Walk This Way	https://music.youtube.com/watch?v=gkWCLjxQqjU	correct	official audio, title, artist and duration match
169	Living Colour - Cult of Personality	https://music.youtube.com/watch?v=S3_Pm1Yn0tA	correct	official audio on the EP
170	Black Eyed Peas - Now Generation	https://music.youtube.com/watch?v=eCrrgBwKPhs	correct	official audio
171	Guns N' Roses - Welcome To The Jungle	https://music.youtube.com/watch?v=0CNPR2qNzxk	correct	official audio, title, artist and duration match
172	AC/DC - It's a Long Way to the Top (If You Wanna Rock 'N' Roll)	https://music.youtube.com/watch?v=vj_rvLVpqg8	correct	official audio, title, artist and duration match
173	Boston - More Than a Feeling	https://music.youtube.com/watch?v=ufQUxoidxkM	correct	official audio, title, artist and duration match
174	Lynyrd Skynyrd - Free Bird	https://music.youtube.com/watch?v=IGLVMBTIAPE	unsure	official song but 12 s longer than Spotify (559 vs 547)
