song,spotify_url,spotdl_url,spotdl_score,judge_url,judge_choice,judge_confidence,judge_original,final_url,outcome
NATTI NATASHA - Criminal,https://open.spotify.com/track/4nt5qwSYkN4d3v57v4bB72,https://www.youtube.com/watch?v=-cTNTYsOU_4,100,,,,,https://www.youtube.com/watch?v=-cTNTYsOU_4,judge_error
Daddy Yankee - Con Calma,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m,https://www.youtube.com/watch?v=V4k6S9OoU18,100,,,,,https://www.youtube.com/watch?v=V4k6S9OoU18,judge_error
Bad Bunny - DÁKITI,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49,https://music.youtube.com/watch?v=2x9aY0QJR04,100,,none,0.33,0.856,https://music.youtube.com/watch?v=2x9aY0QJR04,rejected_all
Carlos Vives - La Bicicleta,https://open.spotify.com/track/0Gx4VrHzS7pZOEAGrmXXBH,https://www.youtube.com/watch?v=-UV0QGLmYys,100,https://www.youtube.com/watch?v=ldt4T0rGaK4,4,0.287,0.822,https://www.youtube.com/watch?v=-UV0QGLmYys,low_confidence
J Balvin - Ginza,https://open.spotify.com/track/2C2TGgFzrTRIOdQS1vUN5h,https://music.youtube.com/watch?v=T2eguXvbV7s,100,https://music.youtube.com/watch?v=T2eguXvbV7s,0,0.319,0.836,https://music.youtube.com/watch?v=T2eguXvbV7s,low_confidence
Ricky Martin - Vente Pa' Ca (feat. Maluma),https://open.spotify.com/track/7DM4BPaS7uofFul3ywMe46,https://www.youtube.com/watch?v=HgJl_i-CDsQ,100,,none,0.297,0.518,https://www.youtube.com/watch?v=HgJl_i-CDsQ,rejected_all
Farruko - Pepas,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni,https://www.youtube.com/watch?v=acm6O4WwgBg,100,,none,0.242,0.798,https://www.youtube.com/watch?v=acm6O4WwgBg,rejected_all
Luis Fonsi - Despacito,https://open.spotify.com/track/6habFhsOp2NvshLv26DqMb,https://www.youtube.com/watch?v=2TzIBedPhPg,100,,none,0.297,0.825,https://www.youtube.com/watch?v=2TzIBedPhPg,rejected_all
Bad Bunny - NUEVAYoL,https://open.spotify.com/track/5TFD2bmFKGhoCRbX61nXY5,https://music.youtube.com/watch?v=WdSGEvDGZAo,100,,none,0.356,0.877,https://music.youtube.com/watch?v=WdSGEvDGZAo,rejected_all
Ricky Martin - La Mordidita (feat. Yotuel),https://open.spotify.com/track/00i0O74dXdaKKdCrqHnfXm,https://www.youtube.com/watch?v=ctOf26gEc7g,100,,none,0.303,0.756,https://www.youtube.com/watch?v=ctOf26gEc7g,rejected_all
Carlos Vives - Robarte un Beso,https://open.spotify.com/track/0JcNysfWVWaMS7R6vzGB2k,https://music.youtube.com/watch?v=H9y-oKSdA9w,100,https://www.youtube.com/watch?v=ZP2uhsHWgAM,4,0.378,0.818,https://music.youtube.com/watch?v=H9y-oKSdA9w,low_confidence
Shakira - Perro Fiel (feat. Nicky Jam),https://open.spotify.com/track/70lnL3QaSOIIyMa2X9aVRL,https://www.youtube.com/watch?v=HTjNEmLnK3c,100,https://www.youtube.com/watch?v=8-r2iOf5tJM,4,0.306,0.672,https://www.youtube.com/watch?v=HTjNEmLnK3c,low_confidence
Deorro - Bailar (feat. Pitbull & Elvis Crespo),https://open.spotify.com/track/1A5yplwEk6cJbAL63L6bkp,https://www.youtube.com/watch?v=9cBtJYI6itg,100,https://www.youtube.com/watch?v=8Ce32mBQirc,4,0.399,0.745,https://www.youtube.com/watch?v=9cBtJYI6itg,low_confidence
Don Omar - Hasta Que Salga El Sol,https://open.spotify.com/track/3W8oGQi947ofWesrIYXP2n,https://music.youtube.com/watch?v=nTWsspgrF0E,100,,,,,https://music.youtube.com/watch?v=nTWsspgrF0E,judge_error
Shakira - Acróstico - Milan + Sasha,https://open.spotify.com/track/7txjUEY6McJDJKqIo1Rxjp,https://www.youtube.com/watch?v=oBw5BlWsY3M,100,,,,,https://www.youtube.com/watch?v=oBw5BlWsY3M,judge_error
Shakira - Dai Dai,https://open.spotify.com/track/0kosUz0jePvjiz4ctmR6wL,https://music.youtube.com/watch?v=lFQdcPTTzSg,100,,none,0.338,0.878,https://music.youtube.com/watch?v=lFQdcPTTzSg,rejected_all
Shakira - Waka Waka (Esto es Africa) (feat. Freshlyground),https://open.spotify.com/track/0W8nDs4H2cqxxAgszNMYO3,https://www.youtube.com/watch?v=KZqFXNMYwr0,100,https://www.youtube.com/watch?v=dzsuE5ugxf4,4,0.353,0.709,https://www.youtube.com/watch?v=KZqFXNMYwr0,low_confidence
Shakira - La Tortura (feat. Alejandro Sanz),https://open.spotify.com/track/53AafWSzYsiJKnAtJTUB5f,https://www.youtube.com/watch?v=Dsp_8Lm1eSk,100,,none,0.385,0.732,https://www.youtube.com/watch?v=Dsp_8Lm1eSk,rejected_all
KAROL G - TQG,https://open.spotify.com/track/0DWdj2oZMBFSzRsi2Cvfzf,https://music.youtube.com/watch?v=a4oZXu9jM-Q,100,,none,0.362,0.86,https://music.youtube.com/watch?v=a4oZXu9jM-Q,rejected_all
Luis Fonsi - Échame La Culpa,https://open.spotify.com/track/0mlAOSILGRys2IbvyOT5VJ,https://music.youtube.com/watch?v=YDswuo2dIvY,100,https://music.youtube.com/watch?v=YDswuo2dIvY,0,0.359,0.828,https://music.youtube.com/watch?v=YDswuo2dIvY,low_confidence
Major Lazer - Que Calor,https://open.spotify.com/track/5dSWNkk66Gez4AM1kpZPiu,https://www.youtube.com/watch?v=QlDiILkppa8,100,,none,0.298,0.781,https://www.youtube.com/watch?v=QlDiILkppa8,rejected_all
Rawayana - Inglés En Miami,https://open.spotify.com/track/3Y1xjjepdqMP141ipYCAqA,https://music.youtube.com/watch?v=X5m3orQOG1c,100,,none,0.313,0.708,https://music.youtube.com/watch?v=X5m3orQOG1c,rejected_all
Elvis Crespo - Suavemente,https://open.spotify.com/track/7cpFmkNmh3MM0WqXPSbs9f,https://music.youtube.com/watch?v=QH0zo6AcP6g,100,,none,0.292,0.914,https://music.youtube.com/watch?v=QH0zo6AcP6g,rejected_all
Fuerza Regida - Bebe Dame,https://open.spotify.com/track/0mzsLrUNazBaRfYZfjmpSV,https://www.youtube.com/watch?v=Oie--p6YqJo,100,https://www.youtube.com/watch?v=HfPw5fPRn4o,4,0.347,0.674,https://www.youtube.com/watch?v=Oie--p6YqJo,low_confidence
Aitana - SUPERESTRELLA,https://open.spotify.com/track/6hpuesKPNa3WhV48O7Fa47,https://music.youtube.com/watch?v=ElvzE2cPclc,100,,none,0.396,0.833,https://music.youtube.com/watch?v=ElvzE2cPclc,rejected_all
KAROL G - Ocean,https://open.spotify.com/track/6qoIFQfdmaQF9A1gb67tR7,https://music.youtube.com/watch?v=-kDOaQfzQyI,100,,none,0.309,0.836,https://music.youtube.com/watch?v=-kDOaQfzQyI,rejected_all
Nicky Jam - El Perdón (with Enrique Iglesias),https://open.spotify.com/track/7qCAVkHWZkF44OzOUKf8Cr,https://music.youtube.com/watch?v=zs6aDvOTlMo,100,,none,0.276,0.759,https://music.youtube.com/watch?v=zs6aDvOTlMo,rejected_all
Juan Magán - Bailando por Ahi,https://open.spotify.com/track/6sHBvzRsuGunQTfCk18KXi,https://music.youtube.com/watch?v=tYclh6A0G9g,100,,none,0.3,0.793,https://music.youtube.com/watch?v=tYclh6A0G9g,rejected_all
