song,spotify_url,spotdl_url,spotdl_score,judge_url,judge_choice,judge_confidence,judge_original,final_url,outcome
Ozzy Osbourne - Crazy Train,https://open.spotify.com/track/7ACxUo21jtTHzy7ZEV56vU,https://music.youtube.com/watch?v=hQ_Z-10dXSE,100.0,,none,0.441,0.766,https://music.youtube.com/watch?v=hQ_Z-10dXSE,rejected_all
Queen - Crazy Little Thing Called Love - Remastered 2011,https://open.spotify.com/track/35ItUJlMtjOQW3SSiTCrrw,https://music.youtube.com/watch?v=ARwcMqXz4Zc,86.03,,none,0.393,0.839,https://music.youtube.com/watch?v=ARwcMqXz4Zc,rejected_all
Queen - Don't Stop Me Now,https://open.spotify.com/track/43DHLzDkncpby82Po5jlOZ,https://www.youtube.com/watch?v=HgzGwKwLmgM,100,,none,0.424,0.619,https://www.youtube.com/watch?v=HgzGwKwLmgM,rejected_all
Journey - Don't Stop Believin',https://open.spotify.com/track/4bHsxqR3GMrXTxEPLuK5ue,https://music.youtube.com/watch?v=sXcyiA38z9I,94.56,,none,0.377,0.81,https://music.youtube.com/watch?v=sXcyiA38z9I,rejected_all
Aerosmith - Dream On,https://open.spotify.com/track/5MxNLUsfh7uzROypsoO5qe,https://music.youtube.com/watch?v=yZR4zH9Zy34,96.82,https://music.youtube.com/watch?v=yZR4zH9Zy34,4,0.424,0.834,https://music.youtube.com/watch?v=yZR4zH9Zy34,low_confidence
Metallica - Enter Sandman (Remastered),https://open.spotify.com/track/3VqHuw0wFlIHcIPWkhIbdQ,https://music.youtube.com/watch?v=XZuM4zFg-60,84.71,,none,0.462,0.849,https://music.youtube.com/watch?v=XZuM4zFg-60,rejected_all
Survivor - Eye of the Tiger,https://open.spotify.com/track/2KH16WveTQWT6KOG9Rg6e2,https://www.youtube.com/watch?v=btPJPFnesV4,100,,none,0.381,0.777,https://www.youtube.com/watch?v=btPJPFnesV4,rejected_all
Queen - Fat Bottomed Girls,https://open.spotify.com/track/39sH8Fl415P7O8GRP1Td6Z,https://www.youtube.com/watch?v=1ncYJCw7N8g,100,,none,0.322,0.685,https://www.youtube.com/watch?v=1ncYJCw7N8g,rejected_all
"Kenny Loggins - Footloose - From ""Footloose"" Soundtrack",https://open.spotify.com/track/2vz1CsL5WBsbpBcwgboTAw,https://music.youtube.com/watch?v=HvropLxYb5c,100.0,https://www.youtube.com/watch?v=a9hnTUuYjiY,4,0.459,0.81,https://music.youtube.com/watch?v=HvropLxYb5c,low_confidence
"Kenny Loggins - Danger Zone - From ""Top Gun"" Original Soundtrack",https://open.spotify.com/track/3hMHG6lx9QHVcfYSUr5PoM,https://music.youtube.com/watch?v=9ID4RAqCqnQ,100.0,,none,0.37,0.845,https://music.youtube.com/watch?v=9ID4RAqCqnQ,rejected_all
Jerry Lee Lewis - Great Balls of Fire,https://open.spotify.com/track/7xe3EQCvXnx6Q0zs41Y65n,https://music.youtube.com/watch?v=c3Ne3UYBNZo,100,https://music.youtube.com/watch?v=c3Ne3UYBNZo,4,0.476,0.872,https://music.youtube.com/watch?v=c3Ne3UYBNZo,low_confidence
Queen - Hammer To Fall,https://open.spotify.com/track/2GCFcbxm61rSA8gzsDk6NJ,https://music.youtube.com/watch?v=oZ8Zzhe8A2Q,88.64,,none,0.351,0.856,https://music.youtube.com/watch?v=oZ8Zzhe8A2Q,rejected_all
Judas Priest - Hell Bent for Leather,https://open.spotify.com/track/5hflg0cgTYWiwtPFoDx4g7,https://music.youtube.com/watch?v=OwUpV1_tteY,94.96,https://music.youtube.com/watch?v=OwUpV1_tteY,4,0.603,0.896,https://music.youtube.com/watch?v=OwUpV1_tteY,low_confidence
Judas Priest - Breaking the Law,https://open.spotify.com/track/2RaA6kIcvomt77qlIgGhCT,https://music.youtube.com/watch?v=BXtPycm5dGc,100.0,,none,0.349,0.846,https://music.youtube.com/watch?v=BXtPycm5dGc,rejected_all
Judas Priest - Living After Midnight,https://open.spotify.com/track/0IXpUl1fn2QZcBavfuq0H4,https://music.youtube.com/watch?v=PjTLOaD6fr4,100.0,,none,0.456,0.835,https://music.youtube.com/watch?v=PjTLOaD6fr4,rejected_all
"David Bowie - ""Heroes"" - 2017 Remaster",https://open.spotify.com/track/7Jh1bpe76CNTCgdgAdBw4Z,https://www.youtube.com/watch?v=A2HAHXxeNNE,100,,none,0.337,0.776,https://www.youtube.com/watch?v=A2HAHXxeNNE,rejected_all
Deep Purple - Highway Star,https://open.spotify.com/track/4gVTozEmzwAUXpwj3jEetX,https://music.youtube.com/watch?v=xKwPOy_nEmI,100.0,,none,0.393,0.775,https://music.youtube.com/watch?v=xKwPOy_nEmI,rejected_all
AC/DC - Highway to Hell,https://open.spotify.com/track/2zYzyRzz6pRmhPzyfMEC8s,https://music.youtube.com/watch?v=ikFFVfObwss,100.0,,none,0.477,0.839,https://music.youtube.com/watch?v=ikFFVfObwss,rejected_all
Van Halen - Hot for Teacher - 2015 Remaster,https://open.spotify.com/track/6QDbGdbJ57Mtkflsg42WV5,https://music.youtube.com/watch?v=h_FKbrcnxA8,81.83,https://www.youtube.com/watch?v=zNDRVhwrhSQ,3,0.333,0.838,https://music.youtube.com/watch?v=h_FKbrcnxA8,low_confidence
Eagles - Hotel California - 2013 Remaster,https://open.spotify.com/track/40riOy7x9W7GXjyGp4pjAv,https://www.youtube.com/watch?v=dLl4PZtxia8,100,https://www.youtube.com/watch?v=dgjyk84xsCw,3,0.343,0.586,https://www.youtube.com/watch?v=dLl4PZtxia8,low_confidence
Joan Jett & the Blackhearts - I Love Rock 'N Roll,https://open.spotify.com/track/2Cdvbe2G4hZsnhNMKyGrie,https://music.youtube.com/watch?v=8-hM3bTmV48,100.0,,none,0.405,0.873,https://music.youtube.com/watch?v=8-hM3bTmV48,rejected_all
The Proclaimers - I'm Gonna Be (500 Miles),https://open.spotify.com/track/67iAlVNDDdddxqSD2EZhFs,https://music.youtube.com/watch?v=oUv0NbjbGzQ,100.0,,none,0.424,0.863,https://music.youtube.com/watch?v=oUv0NbjbGzQ,rejected_all
Twisted Sister - I Wanna Rock,https://open.spotify.com/track/70Z9t1qhytWtG4cCmmi7mU,https://www.youtube.com/watch?v=M55rt14ZWfI,100,,none,0.336,0.779,https://www.youtube.com/watch?v=M55rt14ZWfI,rejected_all
Queen - I Want To Break Free,https://open.spotify.com/track/25H6P7a94WUr5102lC6TNI,https://music.youtube.com/watch?v=xQQxllqJXLc,100.0,,none,0.474,0.85,https://music.youtube.com/watch?v=xQQxllqJXLc,rejected_all
Led Zeppelin - Immigrant Song - Remaster,https://open.spotify.com/track/78lgmZwycJ3nzsdgmPPGNx,https://music.youtube.com/watch?v=5eHkjPCGXKQ,100.0,https://music.youtube.com/watch?v=5eHkjPCGXKQ,0,0.342,0.873,https://music.youtube.com/watch?v=5eHkjPCGXKQ,low_confidence
Black Sabbath - Iron Man,https://open.spotify.com/track/4svkPL62HbvyFgf0nHFXAF,https://music.youtube.com/watch?v=F01UTYg79KY,100.0,,none,0.385,0.811,https://music.youtube.com/watch?v=F01UTYg79KY,rejected_all
Foreigner - Juke Box Hero,https://open.spotify.com/track/00qOE7OjRl0BpYiCiweZB2,https://music.youtube.com/watch?v=W_TOsFvnmeQ,100.0,,none,0.392,0.845,https://music.youtube.com/watch?v=W_TOsFvnmeQ,rejected_all
Van Halen - Jump,https://open.spotify.com/track/6Fba9RZtC6vTY814JToDtP,https://www.youtube.com/watch?v=ShSazZ_H3LI,100.0,,none,0.456,0.576,https://www.youtube.com/watch?v=ShSazZ_H3LI,rejected_all
Queen - Killer Queen - Remastered 2011,https://open.spotify.com/track/7GqWnsKhMtEW0nzki5o0d8,https://www.youtube.com/watch?v=v1fW847XuJI,100,,none,0.387,0.858,https://www.youtube.com/watch?v=v1fW847XuJI,rejected_all
Guns N' Roses - Knockin' On Heaven's Door,https://open.spotify.com/track/4JiEyzf0Md7KEFFGWDDdCr,https://music.youtube.com/watch?v=f8OHybVhQwc,100.0,,none,0.35,0.898,https://music.youtube.com/watch?v=f8OHybVhQwc,rejected_all
Bon Jovi - Livin' On A Prayer,https://open.spotify.com/track/37ZJ0p5Jm13JPevGcx4SkF,https://music.youtube.com/watch?v=YBdyc1WDlBQ,100.0,,none,0.458,0.831,https://music.youtube.com/watch?v=YBdyc1WDlBQ,rejected_all
Billy Joel - The Longest Time,https://open.spotify.com/track/5DH7nDryMhpixm4G4B7RP9,https://music.youtube.com/watch?v=xvdQNuIojeI,100.0,,none,0.399,0.834,https://music.youtube.com/watch?v=xvdQNuIojeI,rejected_all
Van Halen - Love Walks In,https://open.spotify.com/track/6FRQGRdhueJGTKiYnirDNy,https://music.youtube.com/watch?v=8qcQ34iTswY,100.0,,none,0.364,0.841,https://music.youtube.com/watch?v=8qcQ34iTswY,rejected_all
Deep Purple - Maybe I'm a Leo,https://open.spotify.com/track/54e8YIQ5TubPmMx8SLdoDA,https://music.youtube.com/watch?v=wGv-flMDA2s,100.0,,none,0.436,0.831,https://music.youtube.com/watch?v=wGv-flMDA2s,rejected_all
Deep Purple - Never Before,https://open.spotify.com/track/3Kq8i3kDLfFdEiZtcZHDDG,https://music.youtube.com/watch?v=38O0Ixp-YqA,100.0,,none,0.445,0.834,https://music.youtube.com/watch?v=38O0Ixp-YqA,rejected_all
Guns N' Roses - Nightrain,https://open.spotify.com/track/7CBFRsUz1pz1cS12soVhih,https://music.youtube.com/watch?v=VMDljoM5JFI,100.0,,none,0.449,0.76,https://music.youtube.com/watch?v=VMDljoM5JFI,rejected_all
"The Rolling Stones - Paint It, Black",https://open.spotify.com/track/63T7DJ1AFDD6Bn8VzG6JE8,https://music.youtube.com/watch?v=170sceOWWXc,100.0,,none,0.396,0.739,https://music.youtube.com/watch?v=170sceOWWXc,rejected_all
Van Halen - Panama - 2015 Remaster,https://open.spotify.com/track/05RgAMGypEvqhNs5hPCbMS,https://www.youtube.com/watch?v=yMoDJ4HWWaE,100,,none,0.412,0.862,https://www.youtube.com/watch?v=yMoDJ4HWWaE,rejected_all
Guns N' Roses - Paradise City,https://open.spotify.com/track/6eN1f9KNmiWEhpE2RhQqB5,https://music.youtube.com/watch?v=T0ZmErXkbxE,100.0,,none,0.333,0.805,https://music.youtube.com/watch?v=T0ZmErXkbxE,rejected_all
Black Sabbath - Paranoid,https://open.spotify.com/track/4MSqgoFS7e8LpsxeeMMVMu,https://www.youtube.com/watch?v=0qanF-91aJo,100,,none,0.382,0.811,https://www.youtube.com/watch?v=0qanF-91aJo,rejected_all
Billy Joel - Piano Man,https://open.spotify.com/track/70C4NyhjD5OZUMzvWZ3njJ,https://music.youtube.com/watch?v=LLbew85exp0,100.0,https://music.youtube.com/watch?v=LLbew85exp0,0,0.43,0.873,https://music.youtube.com/watch?v=LLbew85exp0,low_confidence
Queen - Play The Game,https://open.spotify.com/track/6hyjl7z58fwPpx8273ilOC,https://www.youtube.com/watch?v=6_5O-nUiZ_0,100,,none,0.405,0.829,https://www.youtube.com/watch?v=6_5O-nUiZ_0,rejected_all
Def Leppard - Pour Some Sugar On Me,https://open.spotify.com/track/1aZLIbKEdsyqxyD6iNcrbA,https://music.youtube.com/watch?v=Rqs4cMyMLnY,100.0,,none,0.418,0.794,https://music.youtube.com/watch?v=Rqs4cMyMLnY,rejected_all
Queen - Radio Ga Ga,https://open.spotify.com/track/2jAc9KIQ9XoZxkydXh3MVh,https://music.youtube.com/watch?v=g9L-hOwKcHQ,100.0,,none,0.407,0.827,https://music.youtube.com/watch?v=g9L-hOwKcHQ,rejected_all
Dio - Rainbow in the Dark,https://open.spotify.com/track/2PpNgmrS9mAyrkRAwn6YPq,https://music.youtube.com/watch?v=prge5lp5hQc,100.0,,none,0.521,0.862,https://music.youtube.com/watch?v=prge5lp5hQc,rejected_all
Michael Jackson - Rock with You - Single Version,https://open.spotify.com/track/7oOOI85fVQvVnK5ynNMdW7,https://music.youtube.com/watch?v=OvzJZTkWYoY,100.0,,none,0.341,0.893,https://music.youtube.com/watch?v=OvzJZTkWYoY,rejected_all
Scorpions - Rock You Like A Hurricane,https://open.spotify.com/track/58XWGx7KNNkKneHdprcprX,https://music.youtube.com/watch?v=bNawbNsx52A,100.0,,none,0.45,0.878,https://music.youtube.com/watch?v=bNawbNsx52A,rejected_all
The Police - Roxanne,https://open.spotify.com/track/3EYOJ48Et32uATr9ZmLnAo,https://music.youtube.com/watch?v=fZheUzgIFEk,100.0,,none,0.377,0.83,https://music.youtube.com/watch?v=fZheUzgIFEk,rejected_all
Van Halen - Runnin' with the Devil,https://open.spotify.com/track/46FW5ZZ6fOF1WpMTEOVEHX,https://www.youtube.com/watch?v=enL_lzVyNdM,100,,none,0.489,0.806,https://www.youtube.com/watch?v=enL_lzVyNdM,rejected_all
Alice Cooper - School's Out,https://open.spotify.com/track/5Z8EDau8uNcP1E8JvmfkZe,https://music.youtube.com/watch?v=37ALmuMSHEI,100.0,,none,0.399,0.81,https://music.youtube.com/watch?v=37ALmuMSHEI,rejected_all
The Clash - Should I Stay or Should I Go - Remastered,https://open.spotify.com/track/39shmbIHICJ2Wxnk1fPSdz,https://music.youtube.com/watch?v=wjZMcWaniA4,84.86,https://music.youtube.com/watch?v=wjZMcWaniA4,4,0.4,0.399,https://music.youtube.com/watch?v=wjZMcWaniA4,low_confidence
Nirvana - Smells Like Teen Spirit,https://open.spotify.com/track/5ghIJDpPoe3CfHMGu71E6T,https://www.youtube.com/watch?v=69Wqhhun5_o,100,,none,0.327,0.833,https://www.youtube.com/watch?v=69Wqhhun5_o,rejected_all
Deep Purple - Smoke on the Water,https://open.spotify.com/track/5SAUIWdZ04OxYfJFDchC7S,https://music.youtube.com/watch?v=dkRi0jJOFmo,82.15,https://music.youtube.com/watch?v=dkRi0jJOFmo,4,0.514,0.89,https://music.youtube.com/watch?v=dkRi0jJOFmo,low_confidence
Queen - Somebody To Love - Remastered 2011,https://open.spotify.com/track/6cFZ4PLC19taNlpl9pbGMf,https://music.youtube.com/watch?v=poobWJNbucs,80.59,https://music.youtube.com/watch?v=poobWJNbucs,4,0.467,0.854,https://music.youtube.com/watch?v=poobWJNbucs,low_confidence
David Bowie - Space Oddity - Love You Til Tuesday version,https://open.spotify.com/track/6kEyuKmF4kZylB5LcuRd8Y,https://music.youtube.com/watch?v=eDTPYR95X9U,100.0,https://music.youtube.com/watch?v=_Ix2uvldEwU,4,0.372,0.824,https://music.youtube.com/watch?v=eDTPYR95X9U,low_confidence
Deep Purple - Space Truckin',https://open.spotify.com/track/44lAQJzaUI6hcpHEFqp2mJ,https://music.youtube.com/watch?v=5hqG-29NTSU,91.22,https://music.youtube.com/watch?v=5hqG-29NTSU,4,0.636,0.922,https://music.youtube.com/watch?v=5hqG-29NTSU,low_confidence
David Bowie - Starman - 2012 Remaster,https://open.spotify.com/track/0pQskrTITgmCMyr85tb9qq,https://www.youtube.com/watch?v=WbpIB8v7FXE,100,,none,0.309,0.781,https://www.youtube.com/watch?v=WbpIB8v7FXE,rejected_all
Bee Gees - Stayin Alive,https://open.spotify.com/track/5ubvP9oKmxLUVq506fgLhk,https://www.youtube.com/watch?v=Fa9n7GirhsI,100,,none,0.348,0.655,https://www.youtube.com/watch?v=Fa9n7GirhsI,rejected_all
Guns N' Roses - Sweet Child O' Mine,https://open.spotify.com/track/7snQQk1zcKl8gZ92AnueZW,https://music.youtube.com/watch?v=oMfMUfgjiLg,100.0,,none,0.362,0.811,https://music.youtube.com/watch?v=oMfMUfgjiLg,rejected_all
Lynyrd Skynyrd - Sweet Home Alabama,https://open.spotify.com/track/7e89621JPkKaeDSTQ3avtg,https://music.youtube.com/watch?v=iL-jC7XyLeo,100.0,,none,0.421,0.851,https://music.youtube.com/watch?v=iL-jC7XyLeo,rejected_all
Michael Jackson - Smooth Criminal - 2012 Remaster,https://open.spotify.com/track/2bCQHF9gdG5BNDVuEIEnNk,https://music.youtube.com/watch?v=XzNWRmqibNE,87.29,https://music.youtube.com/watch?v=XzNWRmqibNE,4,0.407,0.776,https://music.youtube.com/watch?v=XzNWRmqibNE,low_confidence
AC/DC - T.N.T.,https://open.spotify.com/track/7LRMbd3LEoV5wZJvXT1Lwb,https://music.youtube.com/watch?v=NhsK5WExrnE,100.0,,none,0.336,0.867,https://music.youtube.com/watch?v=NhsK5WExrnE,rejected_all
a-ha - Take on Me,https://open.spotify.com/track/2WfaOiMkCvy7F5fcp2zZ8L,https://music.youtube.com/watch?v=HzdD8kbDzZA,100.0,,none,0.32,0.789,https://music.youtube.com/watch?v=HzdD8kbDzZA,rejected_all
AC/DC - Thunderstruck,https://open.spotify.com/track/57bgtoPSgt236HzfBOd8kj,https://music.youtube.com/watch?v=lhg9bYNLvOg,100.0,,none,0.495,0.848,https://music.youtube.com/watch?v=lhg9bYNLvOg,rejected_all
MC Hammer - U Can't Touch This,https://open.spotify.com/track/1B75hgRqe7A4fwee3g3Wmu,https://music.youtube.com/watch?v=gDCRrvtY78g,97.37,,none,0.403,0.733,https://music.youtube.com/watch?v=gDCRrvtY78g,rejected_all
Queen - Under Pressure,https://open.spotify.com/track/1mSClObliRtgPVT399COQH,https://www.youtube.com/watch?v=yNxUFa47WlI,100,,none,0.402,0.86,https://www.youtube.com/watch?v=yNxUFa47WlI,rejected_all
Wham! - Wake Me Up Before You Go-Go,https://open.spotify.com/track/0ikz6tENMONtK6qGkOrU3c,https://music.youtube.com/watch?v=R14lGgHgVJM,100.0,,none,0.394,0.832,https://music.youtube.com/watch?v=R14lGgHgVJM,rejected_all
Aerosmith - Walk This Way,https://open.spotify.com/track/5SZ6zX4rOrEQferfFC2MfP,https://music.youtube.com/watch?v=gkWCLjxQqjU,100.0,,none,0.478,0.826,https://music.youtube.com/watch?v=gkWCLjxQqjU,rejected_all
Bon Jovi - Wanted Dead Or Alive,https://open.spotify.com/track/0oerlffJSzhRVvtDfLcp3N,https://music.youtube.com/watch?v=xNRaDavYo1M,100.0,,none,0.427,0.834,https://music.youtube.com/watch?v=xNRaDavYo1M,rejected_all
Queen - We Are The Champions,https://open.spotify.com/track/4kzvAGJirpZ9ethvKZdJtg,https://music.youtube.com/watch?v=32C0ohT-JFU,100.0,,none,0.471,0.771,https://music.youtube.com/watch?v=32C0ohT-JFU,rejected_all
Twisted Sister - We're Not Gonna Take It,https://open.spotify.com/track/1hlveB9M6ijHZRbzZ2teyh,https://music.youtube.com/watch?v=orsonBB3Lf4,100.0,,none,0.397,0.709,https://music.youtube.com/watch?v=orsonBB3Lf4,rejected_all
Queen - We Will Rock You,https://open.spotify.com/track/0a9sd6MEXZXIPHk0fAxpZ4,https://music.youtube.com/watch?v=6eCIQSHY8UI,100.0,,none,0.43,0.832,https://music.youtube.com/watch?v=6eCIQSHY8UI,rejected_all
Jerry Lee Lewis - Whole Lot of Shakin' Going On,https://open.spotify.com/track/6wO13Xb3EdHUNixFOEJ0KV,https://music.youtube.com/watch?v=DZE_olZnVw4,98.07,https://music.youtube.com/watch?v=DZE_olZnVw4,4,0.579,0.823,https://music.youtube.com/watch?v=DZE_olZnVw4,low_confidence
Led Zeppelin - Whole Lotta Love,https://open.spotify.com/track/4Bv3Cg9FqLcencnvDvVjLk,https://www.youtube.com/watch?v=fIQMktyP90s,100.0,https://music.youtube.com/watch?v=oaSk5vnAVJ8,4,0.397,0.707,https://www.youtube.com/watch?v=fIQMktyP90s,low_confidence
Van Halen - Why Can't This Be Love,https://open.spotify.com/track/0TaT50ZZxT4ytZxuqkE3A9,https://music.youtube.com/watch?v=ybbfEzKfpts,100.0,,none,0.357,0.862,https://music.youtube.com/watch?v=ybbfEzKfpts,rejected_all
Village People - Y.M.C.A.,https://open.spotify.com/track/4YOJFyjqh8eAcbKFfv88mV,https://music.youtube.com/watch?v=khOFB1Erzdg,100.0,,none,0.447,0.826,https://music.youtube.com/watch?v=khOFB1Erzdg,rejected_all
Van Halen - You Really Got Me - 2015 Remaster,https://open.spotify.com/track/0upLyFR8Rr52ZpMp5esQoq,https://music.youtube.com/watch?v=-Oh6hNFZ2KA,82.11,,none,0.404,0.801,https://music.youtube.com/watch?v=-Oh6hNFZ2KA,rejected_all
Dead Or Alive - You Spin Me Round (Like a Record),https://open.spotify.com/track/1ChulFMnwxoD74Me8eX2TU,https://www.youtube.com/watch?v=xyQC_PXL1G4,100.0,,none,0.439,0.829,https://www.youtube.com/watch?v=xyQC_PXL1G4,rejected_all
Quiet Riot - Cum on Feel the Noize,https://open.spotify.com/track/3vV3cr2TpPqFk07zxYUbla,https://music.youtube.com/watch?v=XQ5mygB97nM,100.0,,none,0.454,0.766,https://music.youtube.com/watch?v=XQ5mygB97nM,rejected_all
Aerosmith - Dude (Looks Like A Lady),https://open.spotify.com/track/6gQUbFwwdYXlKdmqRoWKJe,https://music.youtube.com/watch?v=Qs97ZmUeUa4,100.0,,none,0.598,0.845,https://music.youtube.com/watch?v=Qs97ZmUeUa4,rejected_all
Bon Jovi - You Give Love A Bad Name,https://open.spotify.com/track/0rmGAIH9LNJewFw7nKzZnc,https://music.youtube.com/watch?v=Aqc3VTpz9HQ,100.0,,none,0.497,0.862,https://music.youtube.com/watch?v=Aqc3VTpz9HQ,rejected_all
KISS - Rock And Roll All Nite,https://open.spotify.com/track/6KTv0Z8BmVqM7DPxbGzpVC,https://music.youtube.com/watch?v=f-S3X2saSwM,82.74,https://music.youtube.com/watch?v=f-S3X2saSwM,4,0.586,0.682,https://music.youtube.com/watch?v=f-S3X2saSwM,low_confidence
Bon Jovi - Bad Medicine,https://open.spotify.com/track/72hcFp4tYkd3dbNA9dZ3Pv,https://music.youtube.com/watch?v=AfI1QznxY5c,84.53,https://music.youtube.com/watch?v=AfI1QznxY5c,4,0.53,0.879,https://music.youtube.com/watch?v=AfI1QznxY5c,low_confidence
ZZ Top - Sharp Dressed Man - 2008 Remaster,https://open.spotify.com/track/1UBQ5GK8JaQjm5VbkBZY66,https://music.youtube.com/watch?v=PAyOcwZggnA,100.0,https://music.youtube.com/watch?v=PAyOcwZggnA,0,0.552,0.86,https://music.youtube.com/watch?v=PAyOcwZggnA,low_confidence
Chuck Berry - Johnny B. Goode,https://open.spotify.com/track/2QfiRTz5Yc8DdShCxG1tB2,https://music.youtube.com/watch?v=uFeZ_x--aRg,100.0,,none,0.358,0.85,https://music.youtube.com/watch?v=uFeZ_x--aRg,rejected_all
Thin Lizzy - The Boys Are Back In Town,https://open.spotify.com/track/43DeSV93pJPT4lCZaWZ6b1,https://music.youtube.com/watch?v=56b4TTT609c,98.88,https://music.youtube.com/watch?v=56b4TTT609c,4,0.556,0.868,https://music.youtube.com/watch?v=56b4TTT609c,low_confidence
Van Halen - (Oh) Pretty Woman - 2015 Remaster,https://open.spotify.com/track/7ptv3yXdBWwzO7rVA62rwy,https://music.youtube.com/watch?v=3z1CdiWQLqE,82.39,https://music.youtube.com/watch?v=3z1CdiWQLqE,4,0.595,0.873,https://music.youtube.com/watch?v=3z1CdiWQLqE,low_confidence
Kansas - Carry on Wayward Son,https://open.spotify.com/track/4DMKwE2E2iYDKY01C335Uw,https://music.youtube.com/watch?v=tz6u9suVNlY,100.0,,none,0.365,0.884,https://music.youtube.com/watch?v=tz6u9suVNlY,rejected_all
The Black Jets - I Love Rock 'n' Roll,https://open.spotify.com/track/06qEGQMavekDfu9fVsFAMz,https://music.youtube.com/watch?v=91TtnoYnTZM,100.0,,none,0.275,0.842,https://music.youtube.com/watch?v=91TtnoYnTZM,rejected_all
